key,value
Inequality in eduation (2014),16.58373
Inequality in eduation (2015),16.58373
Inequality in eduation (2016),16.58373
Inequality in eduation (2017),16.58373
Inequality in eduation (2018),16.58373
Inequality in eduation (2019),16.84539
Inequality in eduation (2020),16.84539
Inequality in eduation (2021),16.84539
Inequality in income (2010),27.60673
Inequality in income (2011),
Inequality in income (2012),
Inequality in income (2013),23.81426
Inequality in income (2014),23.81426
Inequality in income (2015),23.81426
Inequality in income (2016),23.81426
Inequality in income (2017),23.81426
Inequality in income (2018),23.81426
Inequality in income (2019),18.7899
Inequality in income (2020),18.7899
Inequality in income (2021),18.7899
GII Rank (2021),79
Gender Inequality Index (value) (1990),.437
Gender Inequality Index (value) (1991),.434
Gender Inequality Index (value) (1992),.431
Gender Inequality Index (value) (1993),.429
Gender Inequality Index (value) (1994),.428
Gender Inequality Index (value) (1995),.428
Gender Inequality Index (value) (1996),.427
Gender Inequality Index (value) (1997),.423
Gender Inequality Index (value) (1998),.427
Gender Inequality Index (value) (1999),.422
Gender Inequality Index (value) (2000),.406
Gender Inequality Index (value) (2001),.383
Gender Inequality Index (value) (2002),.39
Gender Inequality Index (value) (2003),.395
Gender Inequality Index (value) (2004),.407
Gender Inequality Index (value) (2005),.394
Gender Inequality Index (value) (2006),.409
Gender Inequality Index (value) (2007),.395
Gender Inequality Index (value) (2008),.387
Gender Inequality Index (value) (2009),.382
Gender Inequality Index (value) (2010),.378
Gender Inequality Index (value) (2011),.369
Gender Inequality Index (value) (2012),.365
Gender Inequality Index (value) (2013),.364
Gender Inequality Index (value) (2014),.419
Gender Inequality Index (value) (2015),.416
Gender Inequality Index (value) (2016),.408
Gender Inequality Index (value) (2017),.419
Gender Inequality Index (value) (2018),.405
Gender Inequality Index (value) (2019),.335
Gender Inequality Index (value) (2020),.335
Gender Inequality Index (value) (2021),.333
"Maternal Mortality Ratio (deaths per 100,000 live births) (1990)",38
"Maternal Mortality Ratio (deaths per 100,000 live births) (1991)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (1992)",36
"Maternal Mortality Ratio (deaths per 100,000 live births) (1993)",36
"Maternal Mortality Ratio (deaths per 100,000 live births) (1994)",36
"Maternal Mortality Ratio (deaths per 100,000 live births) (1995)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (1996)",38
"Maternal Mortality Ratio (deaths per 100,000 live births) (1997)",40
"Maternal Mortality Ratio (deaths per 100,000 live births) (1998)",41
"Maternal Mortality Ratio (deaths per 100,000 live births) (1999)",42
"Maternal Mortality Ratio (deaths per 100,000 live births) (2000)",43
"Maternal Mortality Ratio (deaths per 100,000 live births) (2001)",43
"Maternal Mortality Ratio (deaths per 100,000 live births) (2002)",44
"Maternal Mortality Ratio (deaths per 100,000 live births) (2003)",44
"Maternal Mortality Ratio (deaths per 100,000 live births) (2004)",46
"Maternal Mortality Ratio (deaths per 100,000 live births) (2005)",43
"Maternal Mortality Ratio (deaths per 100,000 live births) (2006)",42
"Maternal Mortality Ratio (deaths per 100,000 live births) (2007)",42
"Maternal Mortality Ratio (deaths per 100,000 live births) (2008)",43
"Maternal Mortality Ratio (deaths per 100,000 live births) (2009)",43
"Maternal Mortality Ratio (deaths per 100,000 live births) (2010)",42
"Maternal Mortality Ratio (deaths per 100,000 live births) (2011)",41
"Maternal Mortality Ratio (deaths per 100,000 live births) (2012)",39
"Maternal Mortality Ratio (deaths per 100,000 live births) (2013)",39
"Maternal Mortality Ratio (deaths per 100,000 live births) (2014)",38
"Maternal Mortality Ratio (deaths per 100,000 live births) (2015)",38
"Maternal Mortality Ratio (deaths per 100,000 live births) (2016)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (2017)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (2018)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (2019)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (2020)",37
"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)",37
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1990)",51.146
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1991)",50.956
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1992)",50.434
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1993)",49.691
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1994)",49.355
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1995)",49.316
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1996)",48.814
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1997)",45.34
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1998)",46.547
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (1999)",42.038
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2000)",34.459
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2001)",35.002
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2002)",38.292
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2003)",41.841
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2004)",46.535
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2005)",47.352
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2006)",49.294
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2007)",50.167
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2008)",51.162
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2009)",51.274
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2010)",50.765
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2011)",52.02
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2012)",51.549
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2013)",49.803
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2014)",47.767
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2015)",45.947
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2016)",42.869
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2017)",40.013
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2018)",36.046
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2019)",33.628
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2020)",33.224
"Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)",32.744
"Share of seats in parliament, female (% held by women) (1990)",6.584992343
"Share of seats in parliament, female (% held by women) (1991)",6.584992343
"Share of seats in parliament, female (% held by women) (1992)",6.584992343
"Share of seats in parliament, female (% held by women) (1993)",6.584992343
"Share of seats in parliament, female (% held by women) (1994)",6.584992343
"Share of seats in parliament, female (% held by women) (1995)",6.584992343
"Share of seats in parliament, female (% held by women) (1996)",6.584992343
"Share of seats in parliament, female (% held by women) (1997)",6.584992343
"Share of seats in parliament, female (% held by women) (1998)",6.584992343
"Share of seats in parliament, female (% held by women) (1999)",6.564885496
"Share of seats in parliament, female (% held by women) (2000)",6.794425087
"Share of seats in parliament, female (% held by women) (2001)",9.571428571
"Share of seats in parliament, female (% held by women) (2002)",9.571428571
"Share of seats in parliament, female (% held by women) (2003)",9.571428571
"Share of seats in parliament, female (% held by women) (2004)",9.341500765999999
"Share of seats in parliament, female (% held by women) (2005)",10.57142857
"Share of seats in parliament, female (% held by women) (2006)",8.677685950000001
"Share of seats in parliament, female (% held by women) (2007)",10.7093185
"Share of seats in parliament, female (% held by women) (2008)",12.6984127
"Share of seats in parliament, female (% held by women) (2009)",13.964687
"Share of seats in parliament, female (% held by women) (2010)",13.964687
"Share of seats in parliament, female (% held by women) (2011)",15.7164869
"Share of seats in parliament, female (% held by women) (2012)",15.7164869
"Share of seats in parliament, female (% held by women) (2013)",15.7164869
"Share of seats in parliament, female (% held by women) (2014)",6.091370558
"Share of seats in parliament, female (% held by women) (2015)",6.091370558
"Share of seats in parliament, female (% held by women) (2016)",6.091370558
"Share of seats in parliament, female (% held by women) (2017)",4.8
"Share of seats in parliament, female (% held by women) (2018)",5.284552846
"Share of seats in parliament, female (% held by women) (2019)",14.13333333
"Share of seats in parliament, female (% held by women) (2020)",13.93775372
"Share of seats in parliament, female (% held by women) (2021)",13.93775372
"Share of seats in parliament, male (% held by men) (1990)",93.41500766
"Share of seats in parliament, male (% held by men) (1991)",93.41500766
"Share of seats in parliament, male (% held by men) (1992)",93.41500766
"Share of seats in parliament, male (% held by men) (1993)",93.41500766
"Share of seats in parliament, male (% held by men) (1994)",93.41500766
"Share of seats in parliament, male (% held by men) (1995)",93.41500766
"Share of seats in parliament, male (% held by men) (1996)",93.41500766
"Share of seats in parliament, male (% held by men) (1997)",93.41500766
"Share of seats in parliament, male (% held by men) (1998)",93.41500766
"Share of seats in parliament, male (% held by men) (1999)",93.4351145
"Share of seats in parliament, male (% held by men) (2000)",93.20557491
"Share of seats in parliament, male (% held by men) (2001)",90.42857143000001
"Share of seats in parliament, male (% held by men) (2002)",90.42857143000001
"Share of seats in parliament, male (% held by men) (2003)",90.42857143000001
"Share of seats in parliament, male (% held by men) (2004)",90.65849923
"Share of seats in parliament, male (% held by men) (2005)",89.42857143000001
"Share of seats in parliament, male (% held by men) (2006)",91.32231405
"Share of seats in parliament, male (% held by men) (2007)",89.29068150000001
"Share of seats in parliament, male (% held by men) (2008)",87.30158729999999
"Share of seats in parliament, male (% held by men) (2009)",86.035313
"Share of seats in parliament, male (% held by men) (2010)",86.035313
"Share of seats in parliament, male (% held by men) (2011)",84.28351309999999
"Share of seats in parliament, male (% held by men) (2012)",84.28351309999999
"Share of seats in parliament, male (% held by men) (2013)",84.28351309999999
"Share of seats in parliament, male (% held by men) (2014)",93.90862944
"Share of seats in parliament, male (% held by men) (2015)",93.90862944
"Share of seats in parliament, male (% held by men) (2016)",93.90862944
"Share of seats in parliament, male (% held by men) (2017)",95.2
"Share of seats in parliament, male (% held by men) (2018)",94.71544715
"Share of seats in parliament, male (% held by men) (2019)",85.86666667
"Share of seats in parliament, male (% held by men) (2020)",86.06224628
"Share of seats in parliament, male (% held by men) (2021)",86.06224628
"Labour force participation rate, female (% ages 15 and older) (1990)",65.614
"Labour force participation rate, female (% ages 15 and older) (1991)",65.485
"Labour force participation rate, female (% ages 15 and older) (1992)",65.37
"Labour force participation rate, female (% ages 15 and older) (1993)",65.265
"Labour force participation rate, female (% ages 15 and older) (1994)",65.179
"Labour force participation rate, female (% ages 15 and older) (1995)",66.08799999999999
"Labour force participation rate, female (% ages 15 and older) (1996)",67.011
"Labour force participation rate, female (% ages 15 and older) (1997)",67.514
"Labour force participation rate, female (% ages 15 and older) (1998)",65.877
"Labour force participation rate, female (% ages 15 and older) (1999)",64.277
"Labour force participation rate, female (% ages 15 and older) (2000)",64.993
"Labour force participation rate, female (% ages 15 and older) (2001)",65.152
"Labour force participation rate, female (% ages 15 and older) (2002)",65.154
"Labour force participation rate, female (% ages 15 and older) (2003)",65.15600000000001
"Labour force participation rate, female (% ages 15 and older) (2004)",65.254
"Labour force participation rate, female (% ages 15 and older) (2005)",66.283
"Labour force participation rate, female (% ages 15 and older) (2006)",65.09699999999999
"Labour force participation rate, female (% ages 15 and older) (2007)",65.941
"Labour force participation rate, female (% ages 15 and older) (2008)",65.76000000000001
"Labour force participation rate, female (% ages 15 and older) (2009)",64.675
"Labour force participation rate, female (% ages 15 and older) (2010)",63.689
"Labour force participation rate, female (% ages 15 and older) (2011)",65.923
"Labour force participation rate, female (% ages 15 and older) (2012)",65.31
"Labour force participation rate, female (% ages 15 and older) (2013)",62.101
"Labour force participation rate, female (% ages 15 and older) (2014)",61.539
"Labour force participation rate, female (% ages 15 and older) (2015)",61.114
"Labour force participation rate, female (% ages 15 and older) (2016)",60.192
"Labour force participation rate, female (% ages 15 and older) (2017)",59.404
"Labour force participation rate, female (% ages 15 and older) (2018)",59.666
"Labour force participation rate, female (% ages 15 and older) (2019)",59.02
"Labour force participation rate, female (% ages 15 and older) (2020)",59.205
"Labour force participation rate, female (% ages 15 and older) (2021)",58.992
"Labour force participation rate, male (% ages 15 and older) (1990)",84.83
"Labour force participation rate, male (% ages 15 and older) (1991)",84.60299999999999
"Labour force participation rate, male (% ages 15 and older) (1992)",84.369
"Labour force participation rate, male (% ages 15 and older) (1993)",84.11199999999999
"Labour force participation rate, male (% ages 15 and older) (1994)",83.854
"Labour force participation rate, male (% ages 15 and older) (1995)",83.22199999999999
"Labour force participation rate, male (% ages 15 and older) (1996)",82.59699999999999
"Labour force participation rate, male (% ages 15 and older) (1997)",82.31999999999999
"Labour force participation rate, male (% ages 15 and older) (1998)",81.63800000000001
"Labour force participation rate, male (% ages 15 and older) (1999)",80.39100000000001
"Labour force participation rate, male (% ages 15 and older) (2000)",80.688
"Labour force participation rate, male (% ages 15 and older) (2001)",81.581
"Labour force participation rate, male (% ages 15 and older) (2002)",81.398
"Labour force participation rate, male (% ages 15 and older) (2003)",81.215
"Labour force participation rate, male (% ages 15 and older) (2004)",81.96599999999999
"Labour force participation rate, male (% ages 15 and older) (2005)",81.489
"Labour force participation rate, male (% ages 15 and older) (2006)",81.253
"Labour force participation rate, male (% ages 15 and older) (2007)",81.669
"Labour force participation rate, male (% ages 15 and older) (2008)",81.503
"Labour force participation rate, male (% ages 15 and older) (2009)",81.328
"Labour force participation rate, male (% ages 15 and older) (2010)",79.994
"Labour force participation rate, male (% ages 15 and older) (2011)",81.119
"Labour force participation rate, male (% ages 15 and older) (2012)",81.20699999999999
"Labour force participation rate, male (% ages 15 and older) (2013)",78.999
"Labour force participation rate, male (% ages 15 and older) (2014)",78.70099999999999
"Labour force participation rate, male (% ages 15 and older) (2015)",77.94799999999999
"Labour force participation rate, male (% ages 15 and older) (2016)",76.895
"Labour force participation rate, male (% ages 15 and older) (2017)",76.19799999999999
"Labour force participation rate, male (% ages 15 and older) (2018)",76.551
"Labour force participation rate, male (% ages 15 and older) (2019)",75.51300000000001
"Labour force participation rate, male (% ages 15 and older) (2020)",75.449
"Labour force participation rate, male (% ages 15 and older) (2021)",75.027
Difference from HDI rank (2021),24
Planetary pressures-adjusted Human Development Index (value) (1990),.552
Planetary pressures-adjusted Human Development Index (value) (1991),.5580000000000001
Planetary pressures-adjusted Human Development Index (value) (1992),.5659999999999999
Planetary pressures-adjusted Human Development Index (value) (1993),.573
Planetary pressures-adjusted Human Development Index (value) (1994),.579
Planetary pressures-adjusted Human Development Index (value) (1995),.581
Planetary pressures-adjusted Human Development Index (value) (1996),.586
Planetary pressures-adjusted Human Development Index (value) (1997),.595
Planetary pressures-adjusted Human Development Index (value) (1998),.609
Planetary pressures-adjusted Human Development Index (value) (1999),.615
Planetary pressures-adjusted Human Development Index (value) (2000),.62
Planetary pressures-adjusted Human Development Index (value) (2001),.629
Planetary pressures-adjusted Human Development Index (value) (2002),.638
Planetary pressures-adjusted Human Development Index (value) (2003),.646
Planetary pressures-adjusted Human Development Index (value) (2004),.651
Planetary pressures-adjusted Human Development Index (value) (2005),.66
Planetary pressures-adjusted Human Development Index (value) (2006),.665
Planetary pressures-adjusted Human Development Index (value) (2007),.675
Planetary pressures-adjusted Human Development Index (value) (2008),.677
Planetary pressures-adjusted Human Development Index (value) (2009),.68
Planetary pressures-adjusted Human Development Index (value) (2010),.6820000000000001
Planetary pressures-adjusted Human Development Index (value) (2011),.6840000000000001
Planetary pressures-adjusted Human Development Index (value) (2012),.6850000000000001
Planetary pressures-adjusted Human Development Index (value) (2013),.6830000000000001
Planetary pressures-adjusted Human Development Index (value) (2014),.715
Planetary pressures-adjusted Human Development Index (value) (2015),.719
Planetary pressures-adjusted Human Development Index (value) (2016),.724
Planetary pressures-adjusted Human Development Index (value) (2017),.727
Planetary pressures-adjusted Human Development Index (value) (2018),.73
Planetary pressures-adjusted Human Development Index (value) (2019),.737
Planetary pressures-adjusted Human Development Index (value) (2020),.737
Planetary pressures-adjusted Human Development Index (value) (2021),.735
Difference from HDI value (%) (1990),4.166666666666652
Difference from HDI value (%) (1991),4.615384615384599
Difference from HDI value (%) (1992),4.873949579831938
Difference from HDI value (%) (1993),5.132450331125837
Difference from HDI value (%) (1994),5.546492659053836
Difference from HDI value (%) (1995),6.138933764135713
Difference from HDI value (%) (1996),6.687898089171984
Difference from HDI value (%) (1997),6.299212598425208
Difference from HDI value (%) (1998),4.843750000000002
Difference from HDI value (%) (1999),4.798761609907121
Difference from HDI value (%) (2000),5.053598774885149
Difference from HDI value (%) (2001),5.271084337349397
Difference from HDI value (%) (2002),5.621301775147936
Difference from HDI value (%) (2003),5.967976710334799
Difference from HDI value (%) (2004),6.599713055954082
Difference from HDI value (%) (2005),6.515580736543902
Difference from HDI value (%) (2006),6.601123595505609
Difference from HDI value (%) (2007),6.767955801104963
Difference from HDI value (%) (2008),6.877579092159547
Difference from HDI value (%) (2009),6.849315068493144
Difference from HDI value (%) (2010),7.462686567164168
Difference from HDI value (%) (2011),7.940780619111698
Difference from HDI value (%) (2012),8.176943699731897
Difference from HDI value (%) (2013),8.567603748326636
Difference from HDI value (%) (2014),8.097686375321345
Difference from HDI value (%) (2015),7.938540332906541
Difference from HDI value (%) (2016),7.770700636942685
Difference from HDI value (%) (2017),7.974683544303806
Difference from HDI value (%) (2018),8.176100628930827
Difference from HDI value (%) (2019),8.333333333333337
Difference from HDI value (%) (2020),8.104738154613479
Difference from HDI value (%) (2021),8.125000000000004
Carbon dioxide emissions per capita (production) (tonnes) (1990),1.554434578
Carbon dioxide emissions per capita (production) (tonnes) (1991),1.690437412
Carbon dioxide emissions per capita (production) (tonnes) (1992),1.832929053
Carbon dioxide emissions per capita (production) (tonnes) (1993),2.072602257
Carbon dioxide emissions per capita (production) (tonnes) (1994),2.26409836
Carbon dioxide emissions per capita (production) (tonnes) (1995),2.615167798
Carbon dioxide emissions per capita (production) (tonnes) (1996),2.889209423
Carbon dioxide emissions per capita (production) (tonnes) (1997),2.935150901
Carbon dioxide emissions per capita (production) (tonnes) (1998),2.567913218
Carbon dioxide emissions per capita (production) (tonnes) (1999),2.648322383
Carbon dioxide emissions per capita (production) (tonnes) (2000),2.681380712
Carbon dioxide emissions per capita (production) (tonnes) (2001),2.844044486
Carbon dioxide emissions per capita (production) (tonnes) (2002),2.978197582
Carbon dioxide emissions per capita (production) (tonnes) (2003),3.129248944
Carbon dioxide emissions per capita (production) (tonnes) (2004),3.341329348
Carbon dioxide emissions per capita (production) (tonnes) (2005),3.408789222
Carbon dioxide emissions per capita (production) (tonnes) (2006),3.439019581
Carbon dioxide emissions per capita (production) (tonnes) (2007),3.466348369
Carbon dioxide emissions per capita (production) (tonnes) (2008),3.410042755
Carbon dioxide emissions per capita (production) (tonnes) (2009),3.623226455
Carbon dioxide emissions per capita (production) (tonnes) (2010),3.80094938
Carbon dioxide emissions per capita (production) (tonnes) (2011),3.756194535
Carbon dioxide emissions per capita (production) (tonnes) (2012),3.984138973
Carbon dioxide emissions per capita (production) (tonnes) (2013),4.220408456
Carbon dioxide emissions per capita (production) (tonnes) (2014),4.129947092
Carbon dioxide emissions per capita (production) (tonnes) (2015),4.157602169
Carbon dioxide emissions per capita (production) (tonnes) (2016),4.109455195
Carbon dioxide emissions per capita (production) (tonnes) (2017),4.131778429
Carbon dioxide emissions per capita (production) (tonnes) (2018),3.97786481
Carbon dioxide emissions per capita (production) (tonnes) (2019),3.901218377
Carbon dioxide emissions per capita (production) (tonnes) (2020),3.692920935
Carbon dioxide emissions per capita (production) (tonnes) (2021),3.692920935
Material footprint per capita (tonnes) (1990),6.64
Material footprint per capita (tonnes) (1991),7.41
Material footprint per capita (tonnes) (1992),7.69
Material footprint per capita (tonnes) (1993),7.79
Material footprint per capita (tonnes) (1994),8.43
Material footprint per capita (tonnes) (1995),9.199999999999999
Material footprint per capita (tonnes) (1996),9.73
Material footprint per capita (tonnes) (1997),8.800000000000001
Material footprint per capita (tonnes) (1998),6.29
Material footprint per capita (tonnes) (1999),6.3
Material footprint per capita (tonnes) (2000),6.78
Material footprint per capita (tonnes) (2001),6.72
Material footprint per capita (tonnes) (2002),7.46
Material footprint per capita (tonnes) (2003),8.039999999999999
Material footprint per capita (tonnes) (2004),8.859999999999999
Material footprint per capita (tonnes) (2005),8.81
Material footprint per capita (tonnes) (2006),8.73
Material footprint per capita (tonnes) (2007),9.23
Material footprint per capita (tonnes) (2008),9.57
Material footprint per capita (tonnes) (2009),9.06
Material footprint per capita (tonnes) (2010),10.07
Material footprint per capita (tonnes) (2011),11.16
Material footprint per capita (tonnes) (2012),11.34
Material footprint per capita (tonnes) (2013),11.91
Material footprint per capita (tonnes) (2014),10.81
Material footprint per capita (tonnes) (2015),10.49
Material footprint per capita (tonnes) (2016),10.4
Material footprint per capita (tonnes) (2017),10.74
Material footprint per capita (tonnes) (2018),11.32
Material footprint per capita (tonnes) (2019),11.75
Material footprint per capita (tonnes) (2020),11.75
Material footprint per capita (tonnes) (2021),11.75
Survey ,MICS
Year,2019
Multidimensional Poverty Index,0.0021207
Health,38.2638
Education,45.07014
Standard of living,16.6660632
Nutrition,26.54494615
Child mortality,11.71885415
Years of schooling,31.68428508
School attendance,13.38585241
Cooking fuel,7.382949694
Sanitation,2.079922643
Drinking water,0.883860511
Electricity,0.754351675
Housing,2.694156949
Assets,2.870820746
